,neighborhood,borough,area,overall,category,score,rating,dwelling,lat,long,size,grade,dwelling_bins
40,Eringate-Centennial-West Deane,Etobicoke,11.0,95.81249999999999,Affordability,4.0,Excellent,423034.0,43.6580167554,-79.5804452375,2.0,A+,"(400000, 425000]"
44,Forest Hill South,Central Toronto,101.0,98.93749999999999,Affordability,3.0,Good,1585984.0,43.694525756400004,-79.4143178642,2.0,A+,"(1500000, 2000000]"
68,Lawrence Park North,Central Toronto,105.0,95.5625,Affordability,4.0,Excellent,980831.0,43.73006017229999,-79.40397836359999,2.0,A+,"(900000, 1000000]"
69,Lawrence Park South,Central Toronto,103.0,95.81249999999999,Affordability,4.0,Excellent,1215390.0,43.71721170479999,-79.40603941020001,2.0,A+,"(1000000, 1500000]"
75,Markland Wood,Etobicoke,12.0,99.25,Affordability,4.0,Excellent,505350.0,43.6335417462,-79.57343154739999,2.0,A+,"(500000, 525000]"
40,Eringate-Centennial-West Deane,Etobicoke,11.0,95.81249999999999,Safety,4.0,Excellent,423034.0,43.6580167554,-79.5804452375,2.0,A+,"(400000, 425000]"
44,Forest Hill South,Central Toronto,101.0,98.93749999999999,Safety,4.0,Excellent,1585984.0,43.694525756400004,-79.4143178642,2.0,A+,"(1500000, 2000000]"
68,Lawrence Park North,Central Toronto,105.0,95.5625,Safety,4.0,Excellent,980831.0,43.73006017229999,-79.40397836359999,2.0,A+,"(900000, 1000000]"
69,Lawrence Park South,Central Toronto,103.0,95.81249999999999,Safety,4.0,Excellent,1215390.0,43.71721170479999,-79.40603941020001,2.0,A+,"(1000000, 1500000]"
75,Markland Wood,Etobicoke,12.0,99.25,Safety,4.0,Excellent,505350.0,43.6335417462,-79.57343154739999,2.0,A+,"(500000, 525000]"
40,Eringate-Centennial-West Deane,Etobicoke,11.0,95.81249999999999,Commute,4.0,Excellent,423034.0,43.6580167554,-79.5804452375,2.0,A+,"(400000, 425000]"
44,Forest Hill South,Central Toronto,101.0,98.93749999999999,Commute,4.0,Excellent,1585984.0,43.694525756400004,-79.4143178642,2.0,A+,"(1500000, 2000000]"
68,Lawrence Park North,Central Toronto,105.0,95.5625,Commute,4.0,Excellent,980831.0,43.73006017229999,-79.40397836359999,2.0,A+,"(900000, 1000000]"
69,Lawrence Park South,Central Toronto,103.0,95.81249999999999,Commute,4.0,Excellent,1215390.0,43.71721170479999,-79.40603941020001,2.0,A+,"(1000000, 1500000]"
75,Markland Wood,Etobicoke,12.0,99.25,Commute,4.0,Excellent,505350.0,43.6335417462,-79.57343154739999,2.0,A+,"(500000, 525000]"
40,Eringate-Centennial-West Deane,Etobicoke,11.0,95.81249999999999,Work,3.0,Good,423034.0,43.6580167554,-79.5804452375,2.0,A+,"(400000, 425000]"
44,Forest Hill South,Central Toronto,101.0,98.93749999999999,Work,4.0,Excellent,1585984.0,43.694525756400004,-79.4143178642,2.0,A+,"(1500000, 2000000]"
68,Lawrence Park North,Central Toronto,105.0,95.5625,Work,3.0,Good,980831.0,43.73006017229999,-79.40397836359999,2.0,A+,"(900000, 1000000]"
69,Lawrence Park South,Central Toronto,103.0,95.81249999999999,Work,3.0,Good,1215390.0,43.71721170479999,-79.40603941020001,2.0,A+,"(1000000, 1500000]"
75,Markland Wood,Etobicoke,12.0,99.25,Work,3.0,Good,505350.0,43.6335417462,-79.57343154739999,2.0,A+,"(500000, 525000]"
40,Eringate-Centennial-West Deane,Etobicoke,11.0,95.81249999999999,Health,4.0,Excellent,423034.0,43.6580167554,-79.5804452375,2.0,A+,"(400000, 425000]"
44,Forest Hill South,Central Toronto,101.0,98.93749999999999,Health,4.0,Excellent,1585984.0,43.694525756400004,-79.4143178642,2.0,A+,"(1500000, 2000000]"
68,Lawrence Park North,Central Toronto,105.0,95.5625,Health,1.0,Poor,980831.0,43.73006017229999,-79.40397836359999,2.0,A+,"(900000, 1000000]"
69,Lawrence Park South,Central Toronto,103.0,95.81249999999999,Health,2.0,Fair,1215390.0,43.71721170479999,-79.40603941020001,2.0,A+,"(1000000, 1500000]"
75,Markland Wood,Etobicoke,12.0,99.25,Health,4.0,Excellent,505350.0,43.6335417462,-79.57343154739999,2.0,A+,"(500000, 525000]"
7,Bayview Village,North York,52.0,92.21875,Affordability,4.0,Excellent,533089.0,43.7763605236,-79.3771168597,1.0,A,"(525000, 550000]"
16,Bridle Path-Sunnybrook-York Mills,North York,41.0,91.5625,Affordability,4.0,Excellent,1849084.0,43.7310131378,-79.3789041759,1.0,A,"(1500000, 2000000]"
21,Casa Loma,Central Toronto,96.0,92.875,Affordability,4.0,Excellent,1083381.0,43.6818521005,-79.4080066472,1.0,A,"(1000000, 1500000]"
22,Centennial Scarborough,Scarborough,133.0,92.0625,Affordability,4.0,Excellent,491024.0,43.7823764958,-79.1508432723,1.0,A,"(475000, 500000]"
29,Danforth-East York,East York,59.0,91.81249999999999,Affordability,3.0,Good,518568.0,43.6894680941,-79.3314033847,1.0,A,"(500000, 525000]"
87,Niagara,Downtown Toronto,82.0,91.15625,Affordability,4.0,Excellent,398281.0,43.6366808791,-79.412420401,1.0,A,"(375000, 400000]"
104,Rosedale-Moore Park,Central Toronto,98.0,92.21875,Affordability,4.0,Excellent,1265389.0,43.682820425299994,-79.3796694025,1.0,A,"(1000000, 1500000]"
116,The Beaches,East Toronto,63.0,91.81250000000001,Affordability,4.0,Excellent,751945.0,43.671049993100006,-79.2996013043,1.0,A,"(750000, 800000]"
137,Yonge-St.Clair,Central Toronto,97.0,92.875,Affordability,4.0,Excellent,995616.0,43.687858872,-79.3978707687,1.0,A,"(900000, 1000000]"
7,Bayview Village,North York,52.0,92.21875,Safety,4.0,Excellent,533089.0,43.7763605236,-79.3771168597,1.0,A,"(525000, 550000]"
16,Bridle Path-Sunnybrook-York Mills,North York,41.0,91.5625,Safety,2.0,Fair,1849084.0,43.7310131378,-79.3789041759,1.0,A,"(1500000, 2000000]"
21,Casa Loma,Central Toronto,96.0,92.875,Safety,4.0,Excellent,1083381.0,43.6818521005,-79.4080066472,1.0,A,"(1000000, 1500000]"
22,Centennial Scarborough,Scarborough,133.0,92.0625,Safety,4.0,Excellent,491024.0,43.7823764958,-79.1508432723,1.0,A,"(475000, 500000]"
29,Danforth-East York,East York,59.0,91.81249999999999,Safety,4.0,Excellent,518568.0,43.6894680941,-79.3314033847,1.0,A,"(500000, 525000]"
87,Niagara,Downtown Toronto,82.0,91.15625,Safety,1.0,Poor,398281.0,43.6366808791,-79.412420401,1.0,A,"(375000, 400000]"
104,Rosedale-Moore Park,Central Toronto,98.0,92.21875,Safety,3.0,Good,1265389.0,43.682820425299994,-79.3796694025,1.0,A,"(1000000, 1500000]"
116,The Beaches,East Toronto,63.0,91.81250000000001,Safety,3.0,Good,751945.0,43.671049993100006,-79.2996013043,1.0,A,"(750000, 800000]"
137,Yonge-St.Clair,Central Toronto,97.0,92.875,Safety,4.0,Excellent,995616.0,43.687858872,-79.3978707687,1.0,A,"(900000, 1000000]"
7,Bayview Village,North York,52.0,92.21875,Commute,3.0,Good,533089.0,43.7763605236,-79.3771168597,1.0,A,"(525000, 550000]"
16,Bridle Path-Sunnybrook-York Mills,North York,41.0,91.5625,Commute,4.0,Excellent,1849084.0,43.7310131378,-79.3789041759,1.0,A,"(1500000, 2000000]"
21,Casa Loma,Central Toronto,96.0,92.875,Commute,4.0,Excellent,1083381.0,43.6818521005,-79.4080066472,1.0,A,"(1000000, 1500000]"
22,Centennial Scarborough,Scarborough,133.0,92.0625,Commute,2.0,Fair,491024.0,43.7823764958,-79.1508432723,1.0,A,"(475000, 500000]"
29,Danforth-East York,East York,59.0,91.81249999999999,Commute,4.0,Excellent,518568.0,43.6894680941,-79.3314033847,1.0,A,"(500000, 525000]"
87,Niagara,Downtown Toronto,82.0,91.15625,Commute,4.0,Excellent,398281.0,43.6366808791,-79.412420401,1.0,A,"(375000, 400000]"
104,Rosedale-Moore Park,Central Toronto,98.0,92.21875,Commute,4.0,Excellent,1265389.0,43.682820425299994,-79.3796694025,1.0,A,"(1000000, 1500000]"
116,The Beaches,East Toronto,63.0,91.81250000000001,Commute,3.0,Good,751945.0,43.671049993100006,-79.2996013043,1.0,A,"(750000, 800000]"
137,Yonge-St.Clair,Central Toronto,97.0,92.875,Commute,4.0,Excellent,995616.0,43.687858872,-79.3978707687,1.0,A,"(900000, 1000000]"
7,Bayview Village,North York,52.0,92.21875,Work,3.0,Good,533089.0,43.7763605236,-79.3771168597,1.0,A,"(525000, 550000]"
16,Bridle Path-Sunnybrook-York Mills,North York,41.0,91.5625,Work,3.0,Good,1849084.0,43.7310131378,-79.3789041759,1.0,A,"(1500000, 2000000]"
21,Casa Loma,Central Toronto,96.0,92.875,Work,3.0,Good,1083381.0,43.6818521005,-79.4080066472,1.0,A,"(1000000, 1500000]"
22,Centennial Scarborough,Scarborough,133.0,92.0625,Work,3.0,Good,491024.0,43.7823764958,-79.1508432723,1.0,A,"(475000, 500000]"
29,Danforth-East York,East York,59.0,91.81249999999999,Work,3.0,Good,518568.0,43.6894680941,-79.3314033847,1.0,A,"(500000, 525000]"
87,Niagara,Downtown Toronto,82.0,91.15625,Work,4.0,Excellent,398281.0,43.6366808791,-79.412420401,1.0,A,"(375000, 400000]"
104,Rosedale-Moore Park,Central Toronto,98.0,92.21875,Work,3.0,Good,1265389.0,43.682820425299994,-79.3796694025,1.0,A,"(1000000, 1500000]"
116,The Beaches,East Toronto,63.0,91.81250000000001,Work,4.0,Excellent,751945.0,43.671049993100006,-79.2996013043,1.0,A,"(750000, 800000]"
137,Yonge-St.Clair,Central Toronto,97.0,92.875,Work,3.0,Good,995616.0,43.687858872,-79.3978707687,1.0,A,"(900000, 1000000]"
7,Bayview Village,North York,52.0,92.21875,Health,3.0,Good,533089.0,43.7763605236,-79.3771168597,1.0,A,"(525000, 550000]"
16,Bridle Path-Sunnybrook-York Mills,North York,41.0,91.5625,Health,3.0,Good,1849084.0,43.7310131378,-79.3789041759,1.0,A,"(1500000, 2000000]"
21,Casa Loma,Central Toronto,96.0,92.875,Health,3.0,Good,1083381.0,43.6818521005,-79.4080066472,1.0,A,"(1000000, 1500000]"
22,Centennial Scarborough,Scarborough,133.0,92.0625,Health,4.0,Excellent,491024.0,43.7823764958,-79.1508432723,1.0,A,"(475000, 500000]"
29,Danforth-East York,East York,59.0,91.81249999999999,Health,3.0,Good,518568.0,43.6894680941,-79.3314033847,1.0,A,"(500000, 525000]"
87,Niagara,Downtown Toronto,82.0,91.15625,Health,3.0,Good,398281.0,43.6366808791,-79.412420401,1.0,A,"(375000, 400000]"
104,Rosedale-Moore Park,Central Toronto,98.0,92.21875,Health,3.0,Good,1265389.0,43.682820425299994,-79.3796694025,1.0,A,"(1000000, 1500000]"
116,The Beaches,East Toronto,63.0,91.81250000000001,Health,3.0,Good,751945.0,43.671049993100006,-79.2996013043,1.0,A,"(750000, 800000]"
137,Yonge-St.Clair,Central Toronto,97.0,92.875,Health,3.0,Good,995616.0,43.687858872,-79.3978707687,1.0,A,"(900000, 1000000]"
2,Alderwood,Etobicoke,20.0,87.96875,Affordability,3.0,Good,504233.0,43.6049368959,-79.5416109273,0.5,B+,"(500000, 525000]"
4,Banbury-Don Mills,North York,42.0,85.84375000000001,Affordability,4.0,Excellent,613647.0,43.737657004300004,-79.3497179808,0.5,B+,"(600000, 625000]"
41,Etobicoke West Mall,Etobicoke,13.0,89.03124999999999,Affordability,4.0,Excellent,298426.0,43.6450626244,-79.5689387722,0.5,B+,"(250000, 300000]"
43,Forest Hill North,Central Toronto,102.0,85.43749999999999,Affordability,3.0,Good,957688.0,43.7042175596,-79.42814316479999,0.5,B+,"(900000, 1000000]"
47,Guildwood,Scarborough,140.0,88.625,Affordability,4.0,Excellent,444309.0,43.7488293378,-79.1950553496,0.5,B+,"(425000, 450000]"
50,High Park-Swansea,West Toronto,87.0,88.93749999999999,Affordability,4.0,Excellent,622206.0,43.6450645834,-79.46787222430001,0.5,B+,"(600000, 625000]"
66,Lambton Baby Point,York,114.0,88.625,Affordability,3.0,Good,806452.0,43.7957160278,-79.3140842409,0.5,B+,"(800000, 850000]"
67,Lansing-Westgate,North York,38.0,87.8125,Affordability,3.0,Good,646460.0,43.754271154899996,-79.4247477215,0.5,B+,"(625000, 650000]"
70,Leaside-Bennington,East York,56.0,88.37499999999999,Affordability,3.0,Good,1071823.0,43.7037966281,-79.3660723439,0.5,B+,"(1000000, 1500000]"
82,Mount Pleasant East,Central Toronto,99.0,85.1875,Affordability,3.0,Good,815247.0,43.7048521692,-79.3849239458,0.5,B+,"(800000, 850000]"
83,Mount Pleasant West,Central Toronto,104.0,85.75,Affordability,4.0,Excellent,520032.0,43.70443517060001,-79.393359554,0.5,B+,"(500000, 525000]"
106,Runnymede-Bloor West Village,West Toronto,89.0,88.12500000000001,Affordability,4.0,Excellent,666204.0,43.6592688193,-79.485708182,0.5,B+,"(650000, 675000]"
113,Stonegate-Queensway,Etobicoke,16.0,88.625,Affordability,3.0,Good,690949.0,43.635518132899996,-79.50112821329999,0.5,B+,"(675000, 700000]"
122,Waterfront Communities-The Island,Downtown Toronto,77.0,87.96875,Affordability,4.0,Excellent,416759.0,43.6338803623,-79.3772023146,0.5,B+,"(400000, 425000]"
129,Willowdale East,North York,51.0,88.21874999999999,Affordability,3.0,Good,540911.0,43.7706022616,-79.40148378960001,0.5,B+,"(525000, 550000]"
2,Alderwood,Etobicoke,20.0,87.96875,Safety,3.0,Good,504233.0,43.6049368959,-79.5416109273,0.5,B+,"(500000, 525000]"
4,Banbury-Don Mills,North York,42.0,85.84375000000001,Safety,4.0,Excellent,613647.0,43.737657004300004,-79.3497179808,0.5,B+,"(600000, 625000]"
41,Etobicoke West Mall,Etobicoke,13.0,89.03124999999999,Safety,4.0,Excellent,298426.0,43.6450626244,-79.5689387722,0.5,B+,"(250000, 300000]"
43,Forest Hill North,Central Toronto,102.0,85.43749999999999,Safety,4.0,Excellent,957688.0,43.7042175596,-79.42814316479999,0.5,B+,"(900000, 1000000]"
47,Guildwood,Scarborough,140.0,88.625,Safety,4.0,Excellent,444309.0,43.7488293378,-79.1950553496,0.5,B+,"(425000, 450000]"
50,High Park-Swansea,West Toronto,87.0,88.93749999999999,Safety,4.0,Excellent,622206.0,43.6450645834,-79.46787222430001,0.5,B+,"(600000, 625000]"
66,Lambton Baby Point,York,114.0,88.625,Safety,4.0,Excellent,806452.0,43.7957160278,-79.3140842409,0.5,B+,"(800000, 850000]"
67,Lansing-Westgate,North York,38.0,87.8125,Safety,2.0,Fair,646460.0,43.754271154899996,-79.4247477215,0.5,B+,"(625000, 650000]"
70,Leaside-Bennington,East York,56.0,88.37499999999999,Safety,4.0,Excellent,1071823.0,43.7037966281,-79.3660723439,0.5,B+,"(1000000, 1500000]"
82,Mount Pleasant East,Central Toronto,99.0,85.1875,Safety,4.0,Excellent,815247.0,43.7048521692,-79.3849239458,0.5,B+,"(800000, 850000]"
83,Mount Pleasant West,Central Toronto,104.0,85.75,Safety,4.0,Excellent,520032.0,43.70443517060001,-79.393359554,0.5,B+,"(500000, 525000]"
106,Runnymede-Bloor West Village,West Toronto,89.0,88.12500000000001,Safety,3.0,Good,666204.0,43.6592688193,-79.485708182,0.5,B+,"(650000, 675000]"
113,Stonegate-Queensway,Etobicoke,16.0,88.625,Safety,4.0,Excellent,690949.0,43.635518132899996,-79.50112821329999,0.5,B+,"(675000, 700000]"
122,Waterfront Communities-The Island,Downtown Toronto,77.0,87.96875,Safety,1.0,Poor,416759.0,43.6338803623,-79.3772023146,0.5,B+,"(400000, 425000]"
129,Willowdale East,North York,51.0,88.21874999999999,Safety,4.0,Excellent,540911.0,43.7706022616,-79.40148378960001,0.5,B+,"(525000, 550000]"
2,Alderwood,Etobicoke,20.0,87.96875,Commute,4.0,Excellent,504233.0,43.6049368959,-79.5416109273,0.5,B+,"(500000, 525000]"
4,Banbury-Don Mills,North York,42.0,85.84375000000001,Commute,3.0,Good,613647.0,43.737657004300004,-79.3497179808,0.5,B+,"(600000, 625000]"
41,Etobicoke West Mall,Etobicoke,13.0,89.03124999999999,Commute,3.0,Good,298426.0,43.6450626244,-79.5689387722,0.5,B+,"(250000, 300000]"
43,Forest Hill North,Central Toronto,102.0,85.43749999999999,Commute,4.0,Excellent,957688.0,43.7042175596,-79.42814316479999,0.5,B+,"(900000, 1000000]"
47,Guildwood,Scarborough,140.0,88.625,Commute,2.0,Fair,444309.0,43.7488293378,-79.1950553496,0.5,B+,"(425000, 450000]"
50,High Park-Swansea,West Toronto,87.0,88.93749999999999,Commute,4.0,Excellent,622206.0,43.6450645834,-79.46787222430001,0.5,B+,"(600000, 625000]"
66,Lambton Baby Point,York,114.0,88.625,Commute,4.0,Excellent,806452.0,43.7957160278,-79.3140842409,0.5,B+,"(800000, 850000]"
67,Lansing-Westgate,North York,38.0,87.8125,Commute,4.0,Excellent,646460.0,43.754271154899996,-79.4247477215,0.5,B+,"(625000, 650000]"
70,Leaside-Bennington,East York,56.0,88.37499999999999,Commute,4.0,Excellent,1071823.0,43.7037966281,-79.3660723439,0.5,B+,"(1000000, 1500000]"
82,Mount Pleasant East,Central Toronto,99.0,85.1875,Commute,4.0,Excellent,815247.0,43.7048521692,-79.3849239458,0.5,B+,"(800000, 850000]"
83,Mount Pleasant West,Central Toronto,104.0,85.75,Commute,4.0,Excellent,520032.0,43.70443517060001,-79.393359554,0.5,B+,"(500000, 525000]"
106,Runnymede-Bloor West Village,West Toronto,89.0,88.12500000000001,Commute,3.0,Good,666204.0,43.6592688193,-79.485708182,0.5,B+,"(650000, 675000]"
113,Stonegate-Queensway,Etobicoke,16.0,88.625,Commute,4.0,Excellent,690949.0,43.635518132899996,-79.50112821329999,0.5,B+,"(675000, 700000]"
122,Waterfront Communities-The Island,Downtown Toronto,77.0,87.96875,Commute,4.0,Excellent,416759.0,43.6338803623,-79.3772023146,0.5,B+,"(400000, 425000]"
129,Willowdale East,North York,51.0,88.21874999999999,Commute,3.0,Good,540911.0,43.7706022616,-79.40148378960001,0.5,B+,"(525000, 550000]"
2,Alderwood,Etobicoke,20.0,87.96875,Work,3.0,Good,504233.0,43.6049368959,-79.5416109273,0.5,B+,"(500000, 525000]"
4,Banbury-Don Mills,North York,42.0,85.84375000000001,Work,3.0,Good,613647.0,43.737657004300004,-79.3497179808,0.5,B+,"(600000, 625000]"
41,Etobicoke West Mall,Etobicoke,13.0,89.03124999999999,Work,3.0,Good,298426.0,43.6450626244,-79.5689387722,0.5,B+,"(250000, 300000]"
43,Forest Hill North,Central Toronto,102.0,85.43749999999999,Work,3.0,Good,957688.0,43.7042175596,-79.42814316479999,0.5,B+,"(900000, 1000000]"
47,Guildwood,Scarborough,140.0,88.625,Work,3.0,Good,444309.0,43.7488293378,-79.1950553496,0.5,B+,"(425000, 450000]"
50,High Park-Swansea,West Toronto,87.0,88.93749999999999,Work,3.0,Good,622206.0,43.6450645834,-79.46787222430001,0.5,B+,"(600000, 625000]"
66,Lambton Baby Point,York,114.0,88.625,Work,3.0,Good,806452.0,43.7957160278,-79.3140842409,0.5,B+,"(800000, 850000]"
67,Lansing-Westgate,North York,38.0,87.8125,Work,3.0,Good,646460.0,43.754271154899996,-79.4247477215,0.5,B+,"(625000, 650000]"
70,Leaside-Bennington,East York,56.0,88.37499999999999,Work,3.0,Good,1071823.0,43.7037966281,-79.3660723439,0.5,B+,"(1000000, 1500000]"
82,Mount Pleasant East,Central Toronto,99.0,85.1875,Work,3.0,Good,815247.0,43.7048521692,-79.3849239458,0.5,B+,"(800000, 850000]"
83,Mount Pleasant West,Central Toronto,104.0,85.75,Work,3.0,Good,520032.0,43.70443517060001,-79.393359554,0.5,B+,"(500000, 525000]"
106,Runnymede-Bloor West Village,West Toronto,89.0,88.12500000000001,Work,4.0,Excellent,666204.0,43.6592688193,-79.485708182,0.5,B+,"(650000, 675000]"
113,Stonegate-Queensway,Etobicoke,16.0,88.625,Work,3.0,Good,690949.0,43.635518132899996,-79.50112821329999,0.5,B+,"(675000, 700000]"
122,Waterfront Communities-The Island,Downtown Toronto,77.0,87.96875,Work,4.0,Excellent,416759.0,43.6338803623,-79.3772023146,0.5,B+,"(400000, 425000]"
129,Willowdale East,North York,51.0,88.21874999999999,Work,2.0,Fair,540911.0,43.7706022616,-79.40148378960001,0.5,B+,"(525000, 550000]"
2,Alderwood,Etobicoke,20.0,87.96875,Health,4.0,Excellent,504233.0,43.6049368959,-79.5416109273,0.5,B+,"(500000, 525000]"
4,Banbury-Don Mills,North York,42.0,85.84375000000001,Health,3.0,Good,613647.0,43.737657004300004,-79.3497179808,0.5,B+,"(600000, 625000]"
41,Etobicoke West Mall,Etobicoke,13.0,89.03124999999999,Health,4.0,Excellent,298426.0,43.6450626244,-79.5689387722,0.5,B+,"(250000, 300000]"
43,Forest Hill North,Central Toronto,102.0,85.43749999999999,Health,3.0,Good,957688.0,43.7042175596,-79.42814316479999,0.5,B+,"(900000, 1000000]"
47,Guildwood,Scarborough,140.0,88.625,Health,4.0,Excellent,444309.0,43.7488293378,-79.1950553496,0.5,B+,"(425000, 450000]"
50,High Park-Swansea,West Toronto,87.0,88.93749999999999,Health,1.0,Poor,622206.0,43.6450645834,-79.46787222430001,0.5,B+,"(600000, 625000]"
