,neighborhood,borough,area,overall,category,score,rating,dwelling,lat,long,size,grade,dwelling_bins
133,Woodbine Corridor,East Toronto,64.0,84.53125,Work,3.0,Good,521549.0,43.6767729247,-79.3154073786,0.125,B,"(500000, 525000]"
134,Woodbine-Lumsden,East York,60.0,84.9375,Work,3.0,Good,440700.0,43.694106742399995,-79.3111635266,0.125,B,"(425000, 450000]"
136,Yonge-Eglinton,Central Toronto,100.0,81.1875,Work,3.0,Good,975449.0,43.704689367700006,-79.4035901675,0.125,B,"(900000, 1000000]"
0,Agincourt North,Scarborough,129.0,81.90624999999999,Health,2.0,Fair,375307.0,43.8054405769,-79.266712166,0.125,B,"(375000, 400000]"
3,Annex,Central Toronto,95.0,77.09375,Health,2.0,Fair,993491.0,43.6715854351,-79.4040006243,0.125,B,"(900000, 1000000]"
5,Bathurst Manor,North York,34.0,81.4375,Health,4.0,Excellent,568877.0,43.7648133077,-79.4560551588,0.125,B,"(550000, 575000]"
6,Bay Street Corridor,Downtown Toronto,76.0,77.65625,Health,3.0,Good,457787.0,43.6575113467,-79.3857212509,0.125,B,"(450000, 475000]"
9,Bedford Park-Nortown,North York,39.0,84.53125,Health,1.0,Poor,1191040.0,43.731486231800005,-79.4202273481,0.125,B,"(1000000, 1500000]"
23,Church-Yonge Corridor,Downtown Toronto,75.0,81.09375,Health,3.0,Good,410703.0,43.6596488635,-79.3790171666,0.125,B,"(400000, 425000]"
25,Clanton Park,North York,33.0,81.18749999999999,Health,4.0,Excellent,605585.0,43.7419784331,-79.4463025758,0.125,B,"(600000, 625000]"
27,Corso Italia-Davenport,Central Toronto,92.0,77.49999999999999,Health,2.0,Fair,502819.0,43.6776609067,-79.4474693307,0.125,B,"(500000, 525000]"
28,Danforth,East Toronto,66.0,80.28125,Health,3.0,Good,585093.0,43.6840254743,-79.32981940890001,0.125,B,"(575000, 600000]"
48,Henry Farm,North York,53.0,75.37500000000001,Health,3.0,Good,372110.0,43.7711441425,-79.3412406671,0.125,B,"(350000, 375000]"
51,Highland Creek,Scarborough,134.0,84.9375,Health,4.0,Excellent,529278.0,43.7907747688,-79.17747247289999,0.125,B,"(525000, 550000]"
52,Hillcrest Village,North York,48.0,78.3125,Health,1.0,Poor,484743.0,43.8029878281,-79.3548039999,0.125,B,"(475000, 500000]"
53,Humber Heights-Westmount,Etobicoke,8.0,81.59375,Health,3.0,Good,491396.0,43.6922328007,-79.5224162029,0.125,B,"(475000, 500000]"
56,Humewood-Cedarvale,York,106.0,81.4375,Health,3.0,Good,800442.0,43.6913698124,-79.4276833521,0.125,B,"(800000, 850000]"
58,Islington-City Centre West,Etobicoke,14.0,84.53125,Health,3.0,Good,491678.0,43.6334633497,-79.5433165354,0.125,B,"(475000, 500000]"
64,Kingsway South,Etobicoke,15.0,84.93750000000003,Health,1.0,Poor,941223.0,43.6535204276,-79.5105768007,0.125,B,"(900000, 1000000]"
65,L'Amoreaux,Scarborough,117.0,75.125,Health,3.0,Good,355438.0,43.6574201304,-79.4960452553,0.125,B,"(350000, 375000]"
72,Long Branch,Etobicoke,19.0,77.90625,Health,3.0,Good,459088.0,43.592361688500006,-79.5333454492,0.125,B,"(450000, 475000]"
76,Milliken,Scarborough,130.0,81.5,Health,3.0,Good,387879.0,43.8206907942,-79.2750089244,0.125,B,"(375000, 400000]"
77,Mimico,Etobicoke,17.0,81.34375,Health,3.0,Good,429941.0,43.615923861300004,-79.5001366364,0.125,B,"(425000, 450000]"
88,North Riverdale,East Toronto,68.0,77.5,Health,1.0,Poor,818592.0,43.671995149,-79.3512604136,0.125,B,"(800000, 850000]"
93,Old East York,East York,58.0,84.78125000000001,Health,3.0,Good,581398.0,43.696781271199995,-79.3354883594,0.125,B,"(575000, 600000]"
95,Parkwoods-Donalda,North York,45.0,75.21875,Health,3.0,Good,553698.0,43.755033474499996,-79.3301795171,0.125,B,"(550000, 575000]"
96,Pelmo Park-Humberlea,North York,23.0,77.25000000000001,Health,3.0,Good,412618.0,43.7175146009,-79.52828220239999,0.125,B,"(400000, 425000]"
98,Pleasant View,North York,46.0,84.78125,Health,3.0,Good,463859.0,43.786981759,-79.33494842520001,0.125,B,"(450000, 475000]"
105,Rouge,Scarborough,131.0,82.15624999999999,Health,3.0,Good,426850.0,43.8212012569,-79.1863434458,0.125,B,"(425000, 450000]"
110,South Riverdale,East Toronto,70.0,76.59375,Health,1.0,Poor,537087.0,43.649292063500006,-79.335651321,0.125,B,"(525000, 550000]"
111,St.Andrew-Windfields,North York,40.0,84.625,Health,4.0,Excellent,1363202.0,43.7527583,-79.4000493,0.125,B,"(1000000, 1500000]"
112,Steeles,Scarborough,116.0,84.78124999999999,Health,4.0,Excellent,440688.0,43.812958825900004,-79.3212070061,0.125,B,"(425000, 450000]"
125,Westminster-Branson,North York,35.0,79.21875,Health,3.0,Good,372380.0,43.7788132165,-79.4524182256,0.125,B,"(350000, 375000]"
130,Willowdale West,North York,37.0,84.375,Health,4.0,Excellent,541247.0,43.771210491800005,-79.4275578,0.125,B,"(525000, 550000]"
133,Woodbine Corridor,East Toronto,64.0,84.53125,Health,3.0,Good,521549.0,43.6767729247,-79.3154073786,0.125,B,"(500000, 525000]"
134,Woodbine-Lumsden,East York,60.0,84.9375,Health,3.0,Good,440700.0,43.694106742399995,-79.3111635266,0.125,B,"(425000, 450000]"
136,Yonge-Eglinton,Central Toronto,100.0,81.1875,Health,3.0,Good,975449.0,43.704689367700006,-79.4035901675,0.125,B,"(900000, 1000000]"
1,Agincourt South-Malvern West,Scarborough,128.0,74.21874999999999,Affordability,4.0,Excellent,332710.0,43.788657551099995,-79.2656117966,0.0625,C,"(325000, 350000]"
8,Bayview Woods-Steeles,North York,49.0,70.40624999999999,Affordability,1.0,Poor,784397.0,43.7968018666,-79.3821179542,0.0625,C,"(750000, 800000]"
11,Bendale,Scarborough,127.0,70.625,Affordability,4.0,Excellent,329355.0,43.7603663086,-79.2574003723,0.0625,C,"(325000, 350000]"
12,Birchcliffe-Cliffside,Scarborough,122.0,73.81249999999999,Affordability,4.0,Excellent,522905.0,43.694681978599995,-79.2650925923,0.0625,C,"(500000, 525000]"
14,Blake-Jones,East York,69.0,70.21875,Affordability,3.0,Good,571246.0,43.67617287979999,-79.3373941732,0.0625,C,"(550000, 575000]"
15,Briar Hill-Belgravia,York,108.0,71.28125,Affordability,4.0,Excellent,373937.0,43.699024381,-79.4528512962,0.0625,C,"(350000, 375000]"
17,Broadview North,East York,57.0,70.71875000000001,Affordability,2.0,Fair,518555.0,43.688825119200004,-79.3556295118,0.0625,C,"(500000, 525000]"
19,Cabbagetown-South St.James Town,Downtown Toronto,71.0,70.78125,Affordability,4.0,Excellent,537025.0,43.667647727399995,-79.36610665810001,0.0625,C,"(525000, 550000]"
26,Cliffcrest,Scarborough,123.0,70.46875,Affordability,3.0,Good,542218.0,43.7211211669,-79.2355295687,0.0625,C,"(525000, 550000]"
30,Don Valley Village,North York,47.0,70.71875,Affordability,3.0,Good,478489.0,43.783293686899995,-79.3536441306,0.0625,C,"(475000, 500000]"
31,Dorset Park,Scarborough,126.0,70.625,Affordability,4.0,Excellent,279189.0,43.759274372700006,-79.2789079388,0.0625,C,"(250000, 300000]"
32,Dovercourt-Wallace Emerson-Juncti,West Toronto,93.0,74.0625,Affordability,3.0,Good,512789.0,43.6656769317,-79.4385406986,0.0625,C,"(500000, 525000]"
35,East End-Danforth,Downtown Toronto,62.0,70.625,Affordability,4.0,Excellent,535867.0,43.684173877700005,-79.2993586723,0.0625,C,"(525000, 550000]"
36,Edenbridge-Humber Valley,Etobicoke,9.0,71.78125,Affordability,3.0,Good,873268.0,43.6708859094,-79.5224577643,0.0625,C,"(850000, 900000]"
46,Greenwood-Coxwell,East Toronto,65.0,73.40625,Affordability,3.0,Good,490920.0,43.6726123109,-79.3243180234,0.0625,C,"(475000, 500000]"
49,High Park North,West Toronto,88.0,74.96875,Affordability,3.0,Good,609689.0,43.6575649139,-79.4663021661,0.0625,C,"(600000, 625000]"
54,Humber Summit,North York,21.0,70.625,Affordability,4.0,Excellent,354381.0,43.7563033,-79.5659633,0.0625,C,"(350000, 375000]"
59,Junction Area,West Toronto,90.0,70.0625,Affordability,3.0,Good,532997.0,43.6678897668,-79.47143987359999,0.0625,C,"(525000, 550000]"
60,Keelesdale-Eglinton West,York,110.0,71.03124999999999,Affordability,4.0,Excellent,373029.0,43.6857274725,-79.4714371062,0.0625,C,"(350000, 375000]"
62,Kensington-Chinatown,Downtown Toronto,78.0,70.21875,Affordability,3.0,Good,477989.0,43.653554131599996,-79.3972398768,0.0625,C,"(475000, 500000]"
71,Little Portugal,West Toronto,84.0,74.31249999999999,Affordability,3.0,Good,514960.0,43.6475359304,-79.4303227131,0.0625,C,"(500000, 525000]"
73,Malvern,Scarborough,132.0,71.4375,Affordability,4.0,Excellent,256488.0,43.8036581967,-79.22251661899999,0.0625,C,"(250000, 300000]"
74,Maple Leaf,North York,29.0,74.40624999999999,Affordability,2.0,Fair,540741.0,43.7155739408,-79.48075801739999,0.0625,C,"(525000, 550000]"
78,Morningside,Scarborough,135.0,70.875,Affordability,4.0,Excellent,289646.0,43.782398614499996,-79.2070411878,0.0625,C,"(250000, 300000]"
79,Moss Park,Downtown Toronto,73.0,74.21875000000001,Affordability,4.0,Excellent,457524.0,43.6565176231,-79.3672970317,0.0625,C,"(450000, 475000]"
85,Newtonbrook East,North York,50.0,74.15625,Affordability,3.0,Good,626626.0,43.791535791,-79.4059374472,0.0625,C,"(625000, 650000]"
94,Palmerston-Little Italy,Downtown Toronto,80.0,70.0625,Affordability,2.0,Fair,781568.0,43.6591571037,-79.41840872739999,0.0625,C,"(750000, 800000]"
99,Princess-Rosethorn,Etobicoke,10.0,73.90625,Affordability,3.0,Good,971668.0,43.666050604300004,-79.5445592919,0.0625,C,"(900000, 1000000]"
103,Roncesvalles,West Toronto,86.0,70.21875000000001,Affordability,3.0,Good,581425.0,43.646122994399995,-79.4429924472,0.0625,C,"(575000, 600000]"
118,Thorncliffe Park,East York,55.0,71.53125,Affordability,3.0,Good,313618.0,43.707749211899994,-79.3499836075,0.0625,C,"(300000, 325000]"
124,West Humber-Clairville,Etobicoke,1.0,70.625,Affordability,4.0,Excellent,317508.0,43.7161804033,-79.59635645350001,0.0625,C,"(300000, 325000]"
135,Wychwood,Central Toronto,94.0,70.87500000000001,Affordability,3.0,Good,656868.0,43.6769192679,-79.425514947,0.0625,C,"(650000, 675000]"
139,Yorkdale-Glen Park,North York,31.0,74.21875,Affordability,4.0,Excellent,421045.0,43.714671529300006,-79.4571080738,0.0625,C,"(400000, 425000]"
1,Agincourt South-Malvern West,Scarborough,128.0,74.21874999999999,Safety,2.0,Fair,332710.0,43.788657551099995,-79.2656117966,0.0625,C,"(325000, 350000]"
8,Bayview Woods-Steeles,North York,49.0,70.40624999999999,Safety,4.0,Excellent,784397.0,43.7968018666,-79.3821179542,0.0625,C,"(750000, 800000]"
11,Bendale,Scarborough,127.0,70.625,Safety,1.0,Poor,329355.0,43.7603663086,-79.2574003723,0.0625,C,"(325000, 350000]"
12,Birchcliffe-Cliffside,Scarborough,122.0,73.81249999999999,Safety,1.0,Poor,522905.0,43.694681978599995,-79.2650925923,0.0625,C,"(500000, 525000]"
14,Blake-Jones,East York,69.0,70.21875,Safety,1.0,Poor,571246.0,43.67617287979999,-79.3373941732,0.0625,C,"(550000, 575000]"
15,Briar Hill-Belgravia,York,108.0,71.28125,Safety,2.0,Fair,373937.0,43.699024381,-79.4528512962,0.0625,C,"(350000, 375000]"
17,Broadview North,East York,57.0,70.71875000000001,Safety,3.0,Good,518555.0,43.688825119200004,-79.3556295118,0.0625,C,"(500000, 525000]"
19,Cabbagetown-South St.James Town,Downtown Toronto,71.0,70.78125,Safety,1.0,Poor,537025.0,43.667647727399995,-79.36610665810001,0.0625,C,"(525000, 550000]"
26,Cliffcrest,Scarborough,123.0,70.46875,Safety,2.0,Fair,542218.0,43.7211211669,-79.2355295687,0.0625,C,"(525000, 550000]"
30,Don Valley Village,North York,47.0,70.71875,Safety,3.0,Good,478489.0,43.783293686899995,-79.3536441306,0.0625,C,"(475000, 500000]"
31,Dorset Park,Scarborough,126.0,70.625,Safety,1.0,Poor,279189.0,43.759274372700006,-79.2789079388,0.0625,C,"(250000, 300000]"
32,Dovercourt-Wallace Emerson-Juncti,West Toronto,93.0,74.0625,Safety,2.0,Fair,512789.0,43.6656769317,-79.4385406986,0.0625,C,"(500000, 525000]"
35,East End-Danforth,Downtown Toronto,62.0,70.625,Safety,1.0,Poor,535867.0,43.684173877700005,-79.2993586723,0.0625,C,"(525000, 550000]"
36,Edenbridge-Humber Valley,Etobicoke,9.0,71.78125,Safety,4.0,Excellent,873268.0,43.6708859094,-79.5224577643,0.0625,C,"(850000, 900000]"
46,Greenwood-Coxwell,East Toronto,65.0,73.40625,Safety,1.0,Poor,490920.0,43.6726123109,-79.3243180234,0.0625,C,"(475000, 500000]"
49,High Park North,West Toronto,88.0,74.96875,Safety,4.0,Excellent,609689.0,43.6575649139,-79.4663021661,0.0625,C,"(600000, 625000]"
54,Humber Summit,North York,21.0,70.625,Safety,1.0,Poor,354381.0,43.7563033,-79.5659633,0.0625,C,"(350000, 375000]"
59,Junction Area,West Toronto,90.0,70.0625,Safety,1.0,Poor,532997.0,43.6678897668,-79.47143987359999,0.0625,C,"(525000, 550000]"
60,Keelesdale-Eglinton West,York,110.0,71.03124999999999,Safety,2.0,Fair,373029.0,43.6857274725,-79.4714371062,0.0625,C,"(350000, 375000]"
62,Kensington-Chinatown,Downtown Toronto,78.0,70.21875,Safety,1.0,Poor,477989.0,43.653554131599996,-79.3972398768,0.0625,C,"(475000, 500000]"
71,Little Portugal,West Toronto,84.0,74.31249999999999,Safety,2.0,Fair,514960.0,43.6475359304,-79.4303227131,0.0625,C,"(500000, 525000]"
73,Malvern,Scarborough,132.0,71.4375,Safety,3.0,Good,256488.0,43.8036581967,-79.22251661899999,0.0625,C,"(250000, 300000]"
74,Maple Leaf,North York,29.0,74.40624999999999,Safety,4.0,Excellent,540741.0,43.7155739408,-79.48075801739999,0.0625,C,"(525000, 550000]"
78,Morningside,Scarborough,135.0,70.875,Safety,2.0,Fair,289646.0,43.782398614499996,-79.2070411878,0.0625,C,"(250000, 300000]"
79,Moss Park,Downtown Toronto,73.0,74.21875000000001,Safety,1.0,Poor,457524.0,43.6565176231,-79.3672970317,0.0625,C,"(450000, 475000]"
85,Newtonbrook East,North York,50.0,74.15625,Safety,3.0,Good,626626.0,43.791535791,-79.4059374472,0.0625,C,"(625000, 650000]"
94,Palmerston-Little Italy,Downtown Toronto,80.0,70.0625,Safety,2.0,Fair,781568.0,43.6591571037,-79.41840872739999,0.0625,C,"(750000, 800000]"
99,Princess-Rosethorn,Etobicoke,10.0,73.90625,Safety,2.0,Fair,971668.0,43.666050604300004,-79.5445592919,0.0625,C,"(900000, 1000000]"
103,Roncesvalles,West Toronto,86.0,70.21875000000001,Safety,1.0,Poor,581425.0,43.646122994399995,-79.4429924472,0.0625,C,"(575000, 600000]"
118,Thorncliffe Park,East York,55.0,71.53125,Safety,4.0,Excellent,313618.0,43.707749211899994,-79.3499836075,0.0625,C,"(300000, 325000]"
124,West Humber-Clairville,Etobicoke,1.0,70.625,Safety,1.0,Poor,317508.0,43.7161804033,-79.59635645350001,0.0625,C,"(300000, 325000]"
135,Wychwood,Central Toronto,94.0,70.87500000000001,Safety,2.0,Fair,656868.0,43.6769192679,-79.425514947,0.0625,C,"(650000, 675000]"
139,Yorkdale-Glen Park,North York,31.0,74.21875,Safety,1.0,Poor,421045.0,43.714671529300006,-79.4571080738,0.0625,C,"(400000, 425000]"
1,Agincourt South-Malvern West,Scarborough,128.0,74.21874999999999,Commute,3.0,Good,332710.0,43.788657551099995,-79.2656117966,0.0625,C,"(325000, 350000]"
8,Bayview Woods-Steeles,North York,49.0,70.40624999999999,Commute,3.0,Good,784397.0,43.7968018666,-79.3821179542,0.0625,C,"(750000, 800000]"
11,Bendale,Scarborough,127.0,70.625,Commute,3.0,Good,329355.0,43.7603663086,-79.2574003723,0.0625,C,"(325000, 350000]"
12,Birchcliffe-Cliffside,Scarborough,122.0,73.81249999999999,Commute,3.0,Good,522905.0,43.694681978599995,-79.2650925923,0.0625,C,"(500000, 525000]"
14,Blake-Jones,East York,69.0,70.21875,Commute,4.0,Excellent,571246.0,43.67617287979999,-79.3373941732,0.0625,C,"(550000, 575000]"
15,Briar Hill-Belgravia,York,108.0,71.28125,Commute,3.0,Good,373937.0,43.699024381,-79.4528512962,0.0625,C,"(350000, 375000]"
17,Broadview North,East York,57.0,70.71875000000001,Commute,4.0,Excellent,518555.0,43.688825119200004,-79.3556295118,0.0625,C,"(500000, 525000]"
19,Cabbagetown-South St.James Town,Downtown Toronto,71.0,70.78125,Commute,4.0,Excellent,537025.0,43.667647727399995,-79.36610665810001,0.0625,C,"(525000, 550000]"
26,Cliffcrest,Scarborough,123.0,70.46875,Commute,3.0,Good,542218.0,43.7211211669,-79.2355295687,0.0625,C,"(525000, 550000]"
30,Don Valley Village,North York,47.0,70.71875,Commute,2.0,Fair,478489.0,43.783293686899995,-79.3536441306,0.0625,C,"(475000, 500000]"
31,Dorset Park,Scarborough,126.0,70.625,Commute,3.0,Good,279189.0,43.759274372700006,-79.2789079388,0.0625,C,"(250000, 300000]"
32,Dovercourt-Wallace Emerson-Juncti,West Toronto,93.0,74.0625,Commute,4.0,Excellent,512789.0,43.6656769317,-79.4385406986,0.0625,C,"(500000, 525000]"
35,East End-Danforth,Downtown Toronto,62.0,70.625,Commute,3.0,Good,535867.0,43.684173877700005,-79.2993586723,0.0625,C,"(525000, 550000]"
36,Edenbridge-Humber Valley,Etobicoke,9.0,71.78125,Commute,3.0,Good,873268.0,43.6708859094,-79.5224577643,0.0625,C,"(850000, 900000]"
46,Greenwood-Coxwell,East Toronto,65.0,73.40625,Commute,4.0,Excellent,490920.0,43.6726123109,-79.3243180234,0.0625,C,"(475000, 500000]"
49,High Park North,West Toronto,88.0,74.96875,Commute,3.0,Good,609689.0,43.6575649139,-79.4663021661,0.0625,C,"(600000, 625000]"
54,Humber Summit,North York,21.0,70.625,Commute,3.0,Good,354381.0,43.7563033,-79.5659633,0.0625,C,"(350000, 375000]"
59,Junction Area,West Toronto,90.0,70.0625,Commute,3.0,Good,532997.0,43.6678897668,-79.47143987359999,0.0625,C,"(525000, 550000]"
60,Keelesdale-Eglinton West,York,110.0,71.03124999999999,Commute,3.0,Good,373029.0,43.6857274725,-79.4714371062,0.0625,C,"(350000, 375000]"
62,Kensington-Chinatown,Downtown Toronto,78.0,70.21875,Commute,4.0,Excellent,477989.0,43.653554131599996,-79.3972398768,0.0625,C,"(475000, 500000]"
71,Little Portugal,West Toronto,84.0,74.31249999999999,Commute,4.0,Excellent,514960.0,43.6475359304,-79.4303227131,0.0625,C,"(500000, 525000]"
73,Malvern,Scarborough,132.0,71.4375,Commute,3.0,Good,256488.0,43.8036581967,-79.22251661899999,0.0625,C,"(250000, 300000]"
74,Maple Leaf,North York,29.0,74.40624999999999,Commute,3.0,Good,540741.0,43.7155739408,-79.48075801739999,0.0625,C,"(525000, 550000]"
78,Morningside,Scarborough,135.0,70.875,Commute,2.0,Fair,289646.0,43.782398614499996,-79.2070411878,0.0625,C,"(250000, 300000]"
79,Moss Park,Downtown Toronto,73.0,74.21875000000001,Commute,4.0,Excellent,457524.0,43.6565176231,-79.3672970317,0.0625,C,"(450000, 475000]"
85,Newtonbrook East,North York,50.0,74.15625,Commute,2.0,Fair,626626.0,43.791535791,-79.4059374472,0.0625,C,"(625000, 650000]"
94,Palmerston-Little Italy,Downtown Toronto,80.0,70.0625,Commute,4.0,Excellent,781568.0,43.6591571037,-79.41840872739999,0.0625,C,"(750000, 800000]"
99,Princess-Rosethorn,Etobicoke,10.0,73.90625,Commute,3.0,Good,971668.0,43.666050604300004,-79.5445592919,0.0625,C,"(900000, 1000000]"
103,Roncesvalles,West Toronto,86.0,70.21875000000001,Commute,4.0,Excellent,581425.0,43.646122994399995,-79.4429924472,0.0625,C,"(575000, 600000]"
118,Thorncliffe Park,East York,55.0,71.53125,Commute,3.0,Good,313618.0,43.707749211899994,-79.3499836075,0.0625,C,"(300000, 325000]"
124,West Humber-Clairville,Etobicoke,1.0,70.625,Commute,3.0,Good,317508.0,43.7161804033,-79.59635645350001,0.0625,C,"(300000, 325000]"
135,Wychwood,Central Toronto,94.0,70.87500000000001,Commute,4.0,Excellent,656868.0,43.6769192679,-79.425514947,0.0625,C,"(650000, 675000]"
139,Yorkdale-Glen Park,North York,31.0,74.21875,Commute,4.0,Excellent,421045.0,43.714671529300006,-79.4571080738,0.0625,C,"(400000, 425000]"
1,Agincourt South-Malvern West,Scarborough,128.0,74.21874999999999,Work,2.0,Fair,332710.0,43.788657551099995,-79.2656117966,0.0625,C,"(325000, 350000]"
8,Bayview Woods-Steeles,North York,49.0,70.40624999999999,Work,3.0,Good,784397.0,43.7968018666,-79.3821179542,0.0625,C,"(750000, 800000]"
11,Bendale,Scarborough,127.0,70.625,Work,2.0,Fair,329355.0,43.7603663086,-79.2574003723,0.0625,C,"(325000, 350000]"
